x;y;z;normal_x;normal_y;normal_z;camera_posx;camera_posy;camera_posz;camera_rotx;camera_roty;camera_rotz
0.8590723;1.295322;6.197625;-0.7209795;0;-0.6929569;0.2557335;1.28021;3.74226;5.451265;3.587985;1.340082E-08
4.926452;1.635896;24.5;0;0;-1;0.2557335;1.28021;3.74226;5.451265;3.587985;1.340082E-08
1.344321;2.604615;17.51666;0;0;-1;0.2557335;1.28021;3.74226;5.451265;3.587985;1.340082E-08
-0.5467275;1.422911;9.300322;0;-0.3616402;-0.9323177;0.2557335;1.28021;3.74226;5.451265;3.587985;1.340082E-08
-1.916832;2.480907;24.5;0;0;-1;0.2557335;1.28021;3.74226;5.451265;3.587985;1.340082E-08
2.242355;1.362219;6.184486;0.6929569;0;-0.7209795;3.179473;1.280373;5.217308;5.383531;336.4515;0
-0.5687187;1.588805;9.235972;0;-0.3616402;-0.9323177;3.179473;1.280373;5.217308;5.383531;336.4515;0
-0.5;1.711414;10.13829;1;0;0;3.179473;1.280373;5.217308;5.383531;336.4515;0
-10.42511;2.945975;24.5;0;0;-1;3.179473;1.280373;5.217308;5.383531;336.4515;0
0.6241419;2.648719;17.51666;0;0;-1;3.179473;1.280373;5.217308;5.383531;336.4515;0
-1.5;0.9969647;9.887846;-1;0;0;-2.147076;0.9989939;9.299469;2.835257;12.09609;-2.671313E-08
-1.5;1.243899;10.39349;-1;0;0;-2.147076;0.9989939;9.299469;2.835257;12.09609;-2.671313E-08
6.346347;4.350796;24.5;0;0;-1;-2.147076;0.9989939;9.299469;2.835257;12.09609;-2.671313E-08
1.365167;2.93784;17.51666;0;0;-1;-2.147076;0.9989939;9.299469;2.835257;12.09609;-2.671313E-08
4.725819;4.748463;24.5;0;0;-1;-2.147076;0.9989939;9.299469;2.835257;12.09609;-2.671313E-08
0.8411869;1.246508;6.216234;-0.7209795;0;-0.6929569;0.5043998;1.261273;5.697298;6.69904;355.1367;-2.686384E-08
12.24359;1.175244;24.5;0;0;-1;0.5043998;1.261273;5.697298;6.69904;355.1367;-2.686384E-08
0.5733447;1.16163;17.51666;0;0;-1;0.5043998;1.261273;5.697298;6.69904;355.1367;-2.686384E-08
0.3788164;0.8308926;24.5;0;0;-1;0.5043998;1.261273;5.697298;6.69904;355.1367;-2.686384E-08
0.8400918;1.35403;6.217373;-0.7209795;0;-0.6929569;0.5043998;1.261273;5.697298;6.69904;355.1367;-2.686384E-08
